argument -moms-wl -moms-wl-cl 
10 0.0354759693146 0.036896944046 
11 0.0368158817291 0.0393300056458 
12 0.0495569705963 0.0495419502258 
13 0.144696950912 0.0670878887177 
14 0.0542340278625 0.111744880676 
15 0.0586020946503 0.0609359741211 
16 0.0646162033081 0.177987098694 
17 0.0911111831665 0.122222900391 
18 0.0823659896851 0.207291841507 
19 0.0928158760071 0.191959857941 
20 0.0976700782776 0.265316009521 
21 0.118633031845 0.145649909973 
22 0.209602832794 0.12530207634 
23 0.13646197319 0.141782999039 
24 0.260761022568 0.163058042526 
25 0.153864145279 0.230376005173 
26 0.174978017807 0.172987937927 
27 0.187258005142 0.308048009872 
28 0.19969201088 0.4842710495 
29 0.20680809021 0.610616922379 
30 0.303100824356 0.660028934479 
31 0.227026939392 0.255398988724 
32 0.256811141968 0.492298126221 
33 0.281939029694 1.32719993591 
34 0.281790971756 0.621917963028 
35 0.320694923401 1.26269984245 
36 0.380068063736 0.408431053162 
37 0.408030986786 0.707108020782 
38 0.35674905777 0.681115865707 
39 0.454081058502 0.573884010315 
40 0.470743179321 3.23993611336 
41 0.438519001007 0.628782987595 
42 0.47402381897 2.65086698532 
43 0.598430871964 1.54936599731 
44 0.555321931839 5.66366410255 
45 0.492620944977 3.15718102455 
46 0.48456788063 1.1572599411 
47 0.515984773636 1.18974399567 
48 0.540997028351 4.03077816963 
49 0.712480068207 0.94304394722 
50 0.583469867706 6.85041499138 
