argument -malin-wl -rand-wl -moms-wl -dlis-wl -wl -malin-wl-cl -rand-wl-cl -moms-wl-cl -dlis-wl-cl -wl-cl 
10 0.00714683532715 0.00907802581787 0.00536203384399 0.00843405723572 0.00660395622253 0.00674700737 0.00751090049744 0.00516486167908 0.00995182991028 0.00495100021362 
12 0.0110387802124 0.0120570659637 0.00878500938416 0.00925898551941 0.007896900177 0.00642395019531 0.0111498832703 0.00715899467468 0.00737309455872 0.00808691978455 
14 0.0243599414825 0.0150110721588 0.00975394248962 0.0126910209656 0.010321855545 0.0093629360199 0.0128021240234 0.0107090473175 0.0168080329895 0.00949192047119 
16 0.10999417305 0.190375089645 0.0817279815674 0.36952996254 0.0810730457306 0.0678789615631 0.184189081192 0.115736961365 0.710531949997 0.138595104218 
