argument -malin -rand -moms -dlis defaut -malin-wl -rand-wl -moms-wl -dlis-wl -wl -malin-cl -rand-cl -moms-cl -dlis-cl -cl -malin-wl-cl -rand-wl-cl -moms-wl-cl -dlis-wl-cl -wl-cl 
10 0.00695419311523 0.0349600315094 0.00479602813721 0.00737285614014 0.00564908981323 0.00760316848755 0.00553107261658 0.00582003593445 0.00671195983887 0.00455093383789 0.00487089157104 0.0164320468903 0.00616192817688 0.0079710483551 0.00707387924194 0.00527715682983 0.00627303123474 0.00591611862183 0.00793600082397 0.00659203529358 
12 0.00883007049561 0.00906610488892 0.00857901573181 0.00886416435242 0.00693106651306 0.0093719959259 0.00900602340698 0.00663590431213 0.0101490020752 0.0073709487915 0.00870800018311 0.00761604309082 0.0072910785675 0.0102739334106 0.00751495361328 0.0120148658752 0.008455991745 0.00757312774658 0.00891304016113 0.00772786140442 
14 0.0111949443817 0.0101008415222 0.0107469558716 0.0121839046478 0.00992321968079 0.0101609230042 0.00967311859131 0.00970196723938 0.0118892192841 0.0103590488434 0.00861597061157 0.0107998847961 0.0089590549469 0.0128638744354 0.0106329917908 0.00818681716919 0.011598110199 0.0106239318848 0.0112550258636 0.0108931064606 
16 0.113456964493 0.741175889969 0.0878179073334 0.46474480629 0.157290220261 0.17686009407 0.342928886414 0.148869037628 0.936088085175 0.214422941208 0.074196100235 0.590265035629 0.133110046387 0.185524940491 0.0818769931793 0.166153907776 0.310636997223 0.1246778965 0.406866073608 0.18997502327 
