argument -moms-wl -dlis-wl -moms-wl-cl -dlis-wl-cl 
100 0.0373110771179 0.0457561016083 0.0428550243378 0.0555641651154 
150 0.0902760028839 0.137063026428 0.095801115036 0.0758588314056 
200 0.124834060669 0.230947971344 0.135485887527 0.152612924576 
250 0.187613010406 0.210983991623 0.253370046616 0.21448302269 
300 0.422977924347 0.268585205078 0.289423942566 0.278845071793 
350 0.41777586937 0.425479888916 0.33873295784 0.408212900162 
400 0.458537101746 0.492461919785 0.480818033218 0.473072052002 
450 0.604418039322 0.581341981888 0.710318088531 0.564185857773 
500 0.81375002861 0.797582864761 0.74652504921 0.797585010529 
550 0.972101926804 0.840415000916 0.878630876541 0.972733020782 
600 1.0395898819 1.03554701805 0.998149871826 1.06093001366 
650 1.23486495018 1.17526483536 1.22289896011 1.20129394531 
700 1.45537614822 1.45089793205 1.39653611183 1.42492890358 
750 1.61609005928 1.65719389915 1.62126898766 1.71420311928 
800 1.8100540638 1.82808494568 1.7945702076 1.86252593994 
850 2.0333571434 2.021723032 2.0582780838 2.30565309525 
900 2.34630393982 2.4530570507 2.27374100685 2.36521887779 
950 2.60008096695 2.58865785599 2.56322598457 2.57882404327 
1000 2.85991716385 2.88383316994 2.95693993568 2.80950713158 
