argument -malin-wl -rand-wl -moms-wl -dlis-wl -simple-wl -malin-wl-cl -rand-wl-cl -moms-wl-cl -dlis-wl-cl -simple-wl-cl 
50 0.0814681053162 0.0864968299866 0.0553998947144 0.0602481365204 0.497653007507 0.534832000732 0.00257802009583 0.00244283676147 0.00243401527405 0.00304913520813 
100 0.00245904922485 0.0023250579834 0.00432515144348 0.00311994552612 0.00259804725647 0.00742101669312 0.00249004364014 0.00405716896057 0.00287294387817 0.00335097312927 
150 0.00412011146545 0.00316882133484 0.00267887115479 0.00315594673157 0.00304198265076 0.002445936203 0.00248503684998 0.00381016731262 0.00343203544617 0.00302600860596 
200 0.00255107879639 0.0025908946991 0.00230288505554 0.00289106369019 0.00852394104004 0.00257110595703 0.00308179855347 0.00364899635315 0.00279593467712 0.00284790992737 
250 0.00274205207825 0.00635409355164 0.00244998931885 0.00254416465759 0.0857691764832 0.00246000289917 0.00290703773499 0.00262999534607 0.00247693061829 0.003093957901 
300 0.00308513641357 0.00256299972534 0.00254011154175 0.00293302536011 0.00278496742249 0.00255107879639 0.00259804725647 0.00295209884644 0.00499105453491 0.00249099731445 
350 0.00256395339966 0.00353693962097 0.00314092636108 0.00308918952942 0.00357913970947 0.00304007530212 0.00242710113525 0.00334000587463 0.0025908946991 0.00281000137329 
400 0.00274991989136 0.00243997573853 0.00252294540405 0.00345587730408 0.00336909294128 0.00263786315918 0.00241804122925 0.00231599807739 0.00266408920288 0.00260782241821 
450 0.00296902656555 0.00278306007385 0.00287294387817 0.0026478767395 0.00259613990784 0.00372004508972 0.00301098823547 0.0135390758514 0.0143980979919 0.0124230384827 
500 0.0158450603485 0.0151631832123 0.0166001319885 0.0144550800323 0.014612197876 0.0161771774292 0.016205072403 0.0171980857849 0.0223338603973 0.0116190910339 
550 0.102271080017 0.0155699253082 0.0184512138367 0.027704000473 0.0199570655823 0.0132100582123 0.0157759189606 0.0213229656219 0.0168268680573 0.013934135437 
600 0.0138761997223 0.0130732059479 0.0164790153503 0.0147309303284 0.0149719715118 0.0138549804688 0.0121500492096 0.0155651569366 0.0159301757812 0.013946056366 
650 0.0121381282806 0.0133719444275 0.0153298377991 0.105596065521 0.0118610858917 0.269153833389 0.29891705513 0.346674919128 0.309360027313 0.485772848129 
700 0.393136978149 0.188138008118 0.249747037888 0.244796037674 0.20526099205 0.214455127716 0.179723024368 0.220901012421 0.209941148758 0.204912185669 
750 0.536388158798 0.382187843323 0.215975999832 0.268414020538 0.145891904831 0.171038866043 0.158267021179 0.180152893066 0.222847938538 0.395310163498 
800 0.196120977402 0.0719079971313 0.0914850234985 0.19374704361 0.0818250179291 0.0456440448761 0.0757429599762 0.0972468852997 0.317094087601 0.329262971878 
850 0.264298200607 0.227159023285 0.226991176605 0.263411998749 0.187829017639 0.366216897964 0.526293992996 0.664807081223 0.155360937119 0.0585830211639 
900 0.0901000499725 0.0838079452515 0.111760854721 0.180832862854 0.0356841087341 0.0365200042725 0.0371930599213 0.050675868988 0.128703117371 0.0335659980774 
950 0.0363848209381 0.0342681407928 0.0438508987427 0.0418789386749 0.0372121334076 0.114134073257 0.0322270393372 0.0445368289948 0.059131860733 0.158241033554 
1000 0.171153068542 0.170731067657 0.21587395668 0.23987698555 0.178726911545 0.0118041038513 0.0118870735168 0.015289068222 0.0126152038574 0.0121397972107 
1050 0.0127141475677 0.0112779140472 0.0138258934021 0.112292051315 0.0115699768066 0.0138528347015 0.0230429172516 0.0190329551697 0.0145540237427 0.0167918205261 
1100 0.0121598243713 0.0118269920349 0.0150210857391 0.015184879303 0.0116920471191 0.0131599903107 0.0111889839172 0.0142350196838 0.0105040073395 0.0117771625519 
1150 0.0125479698181 0.013475894928 0.0152699947357 0.0139889717102 0.0128571987152 0.0120949745178 0.0111379623413 0.0150260925293 0.0099790096283 0.0120940208435 
1200 0.0117919445038 0.0241858959198 0.302107095718 0.273832082748 0.317346096039 0.332324028015 0.29588508606 0.390058994293 0.159713029861 0.12723493576 
1250 0.126846790314 0.217303991318 0.17058300972 0.143751859665 0.00254082679749 0.00232696533203 0.0026319026947 0.00226020812988 0.00272297859192 0.00217604637146 
1300 0.00282096862793 0.00193190574646 0.00240111351013 0.00216794013977 0.00263404846191 0.00259280204773 0.00239014625549 0.00584197044373 0.00482797622681 0.00313401222229 
1350 0.00302195549011 0.00242805480957 0.00376582145691 0.00281810760498 0.00315690040588 0.00255298614502 0.00250005722046 0.00327491760254 0.0024209022522 0.00261402130127 
1400 0.00322699546814 0.00331091880798 0.00378203392029 0.00265908241272 0.00360703468323 0.00235795974731 0.00270104408264 0.00232315063477 0.00354480743408 0.00243806838989 
1450 0.00281405448914 0.00268220901489 0.00269389152527 0.0027711391449 0.00302410125732 0.00315093994141 0.0025520324707 0.00268077850342 0.00252604484558 0.0035228729248 
1500 0.00265097618103 0.00210189819336 0.00223517417908 0.00242185592651 0.00271892547607 0.00233697891235 0.00251007080078 0.00294780731201 0.00258493423462 0.00272798538208 
