argument -malin-wl -rand-wl -moms-wl -dlis-wl -wl -malin-wl-cl -rand-wl-cl -moms-wl-cl -dlis-wl-cl -wl-cl 
2 0.00269603729248 0.00254392623901 0.0250527858734 0.00599908828735 0.0256409645081 0.00368499755859 0.00320506095886 0.00238108634949 0.00305318832397 0.00258493423462 
3 0.00279903411865 0.00439405441284 0.00419688224792 0.00330996513367 0.00331497192383 0.00390005111694 0.0032811164856 0.00394415855408 0.00494003295898 0.00352311134338 
4 0.00525498390198 0.0051851272583 0.00391483306885 0.00434803962708 0.00530695915222 0.00397491455078 0.00567984580994 0.00411295890808 0.00447702407837 0.0046980381012 
5 0.00737810134888 0.00769686698914 0.00646185874939 0.00873112678528 0.00739216804504 0.0061399936676 0.00607204437256 0.00752687454224 0.00752902030945 0.00846099853516 
6 0.0938210487366 0.0295920372009 0.00879383087158 0.0097188949585 0.00776195526123 0.00960898399353 0.00968194007874 0.0124070644379 0.00828504562378 0.00993609428406 
