argument -malin-dpll -rand-dpll -moms-dpll -dlis-dpll -simple-dpll -malin-wl -rand-wl -moms-wl -dlis-wl -simple-wl -malin-dpll-cl -rand-dpll-cl -moms-dpll-cl -dlis-dpll-cl -simple-dpll-cl -malin-wl-cl -rand-wl-cl -moms-wl-cl -dlis-wl-cl -simple-wl-cl 
500 0.0684009790421 0.0692059993744 0.104164958 0.0723048448563 0.121007919312 0.177927017212 0.156332015991 0.113617062569 0.139490008354 0.202487587929 0.070205450058 0.118423581123 0.0703029632568 0.121180057526 0.0734333992004 0.229131579399 0.164077043533 0.114084720612 0.162150621414 0.19556748867 
1000 0.08797955513 0.0866634845734 0.128404140472 0.137661576271 0.0887140035629 0.444391489029 0.394989132881 0.208672523499 0.175958156586 0.447808504105 0.109140515327 0.129151940346 0.0921039581299 0.0960490703583 0.0916674137115 0.465642929077 0.396683573723 0.209350943565 0.20160150528 0.37743294239 
1500 0.122270464897 0.150788068771 0.159477472305 0.112953543663 0.154782414436 0.758961081505 0.688769936562 0.251705527306 0.246079444885 0.754977941513 0.119736075401 0.1436804533 0.109804391861 0.143163442612 0.137439131737 0.701226949692 0.728087902069 0.261675477028 0.212171912193 0.783282876015 
2000 0.150107502937 0.177750110626 0.157084465027 0.183367490768 0.137813091278 1.11209762096 1.1532150507 0.29639005661 0.312826037407 1.07792150974 0.142952919006 0.140480399132 0.175850868225 0.151531457901 0.188874483109 1.13361990452 1.11439800262 0.31686103344 0.253408074379 1.13010191917 
2500 0.172144532204 0.157280564308 0.167651414871 0.177978873253 0.205200433731 1.64474308491 1.70461797714 0.292757511139 0.377169013023 1.62133693695 0.195420503616 0.208747506142 0.17916893959 0.16671359539 0.199140906334 1.71459460258 1.60731804371 0.353473424911 0.397827506065 1.58838403225 
3000 0.176613092422 0.230612516403 0.233641028404 0.177168607712 0.186064600945 2.33671462536 2.24823355675 0.429839968681 0.366626977921 2.15161848068 0.188922405243 0.234863519669 0.259359002113 0.179613471031 0.188910603523 2.22827553749 2.29939746857 0.397451519966 0.331888437271 2.15008807182 
3500 0.214421510696 0.200550675392 0.213572502136 0.195739388466 0.20517551899 3.51444506645 3.2340669632 0.396555066109 0.393514990807 2.9910980463 0.258105993271 0.209491014481 0.216557621956 0.26358795166 0.203727602959 2.98710346222 2.93735408783 0.429030418396 0.384380102158 2.74884343147 
4000 0.258640050888 0.24221599102 0.267955064774 0.223831534386 0.249715924263 3.86918950081 3.76136255264 0.468578457832 0.412675499916 3.55151462555 0.250107526779 0.238335967064 0.236019968987 0.226309418678 0.267773389816 3.71096301079 3.74245047569 0.490561485291 0.43322956562 3.71738135815 
