argument -malin-dpll -rand-dpll -moms-dpll -dlis-dpll -simple-dpll -malin-dpll-cl -rand-dpll-cl -moms-dpll-cl -dlis-dpll-cl -simple-dpll-cl -malin-wl -rand-wl -moms-wl -dlis-wl -simple-wl -malin-wl-cl -rand-wl-cl -moms-wl-cl -dlis-wl-cl -simple-wl-cl 
2 0.00286817550659 0.00758290290833 0.00510811805725 0.00292801856995 0.00428414344788 0.00346708297729 0.0030620098114 0.00454187393188 0.00338697433472 0.00548315048218 0.00385308265686 0.00345301628113 0.00351405143738 0.00298190116882 0.00507187843323 0.0097279548645 0.003662109375 0.00314402580261 0.00635600090027 0.00351691246033 
3 0.00318813323975 0.00318503379822 0.00311708450317 0.00392007827759 0.00459909439087 0.00326991081238 0.00285506248474 0.104871988297 0.0192680358887 0.00463390350342 0.00595688819885 0.00661897659302 0.00392413139343 0.00389790534973 0.00370693206787 0.00319910049438 0.00415515899658 0.00330710411072 0.00453782081604 0.00319981575012 
4 0.0249071121216 0.0232679843903 0.0280220508575 0.0208070278168 0.0220301151276 0.0230319499969 0.0224680900574 0.0213980674744 0.116696834564 0.018669128418 0.0331249237061 0.030375957489 0.0355861186981 0.0372841358185 0.0246810913086 0.00772285461426 0.0131390094757 0.0139350891113 0.0241169929504 0.0313189029694 
5 0.210942983627 0.0972371101379 0.0869131088257 0.0797028541565 0.117990970612 0.110630989075 0.121701002121 0.0880899429321 0.0873939990997 0.0698671340942 0.204488992691 0.139191150665 0.0308980941772 0.163511037827 0.11613702774 0.012934923172 0.0367429256439 0.0487520694733 0.187324047089 0.138020038605 
