argument -malin-dpll -rand-dpll -moms-dpll -dlis-dpll -simple-dpll -malin-wl -rand-wl -moms-wl -dlis-wl -simple-wl -malin-dpll-cl -rand-dpll-cl -moms-dpll-cl -dlis-dpll-cl -simple-dpll-cl -malin-wl-cl -rand-wl-cl -moms-wl-cl -dlis-wl-cl -simple-wl-cl 
10 0.0117558956146 0.00459959506989 0.0030211687088 0.0030796289444 0.00330061912537 0.00371332168579 0.00368299484253 0.00318813323975 0.0041540145874 0.00309321880341 0.0034318447113 0.0030787229538 0.003475522995 0.00285289287567 0.00303480625153 0.00309641361237 0.00378692150116 0.00437920093536 0.00419871807098 0.00498292446136 
12 0.00560142993927 0.0039361000061 0.00389087200165 0.00455911159515 0.0038877248764 0.00424523353577 0.00331339836121 0.00330822467804 0.00330367088318 0.00364174842834 0.0126010894775 0.00386157035828 0.00366315841675 0.00371363162994 0.013063788414 0.00371947288513 0.00350339412689 0.00335178375244 0.00446944236755 0.00336239337921 
14 0.00371181964874 0.00474424362183 0.00433728694916 0.00495550632477 0.003484582901 0.00364217758179 0.00566101074219 0.00413348674774 0.00475018024445 0.00370907783508 0.0050145149231 0.00398831367493 0.00391130447388 0.00468485355377 0.00484206676483 0.00436017513275 0.00549488067627 0.00366241931915 0.00326564311981 0.00549573898315 
16 0.00393681526184 0.0040545463562 0.014638710022 0.0109066486359 0.00595660209656 0.0129667758942 0.00407903194427 0.00401635169983 0.00695788860321 0.00473430156708 0.00399451255798 0.0040301322937 0.00480859279633 0.00426487922668 0.00433802604675 0.00435862541199 0.0041482925415 0.00539228916168 0.00399780273438 0.00416433811188 
18 0.00577917098999 0.00561337471008 0.00422649383545 0.0100366353989 0.00527131557465 0.00460271835327 0.00374138355255 0.00414800643921 0.0145002126694 0.005317735672 0.00519070625305 0.00402290821075 0.00415990352631 0.00423674583435 0.0151669979095 0.00457000732422 0.0149093151093 0.0035569190979 0.00411813259125 0.00396747589111 
20 0.00494420528412 0.00453040599823 0.00583992004395 0.00670983791351 0.00493898391724 0.00414938926697 0.00452189445496 0.00480391979218 0.00583217144012 0.00414798259735 0.00526719093323 0.00574109554291 0.00432569980621 0.00481495857239 0.00437009334564 0.00479209423065 0.0150063037872 0.00447015762329 0.00449960231781 0.00572686195374 
22 0.00654411315918 0.0060417175293 0.00559067726135 0.00509517192841 0.00429148674011 0.00474238395691 0.0133983612061 0.00454666614532 0.00492663383484 0.0124524354935 0.00535657405853 0.00456871986389 0.00516390800476 0.00482649803162 0.0047328710556 0.00531759262085 0.00763046741486 0.0051931142807 0.00463051795959 0.0060008764267 
24 0.00645909309387 0.00865931510925 0.00542171001434 0.00528366565704 0.00559561252594 0.00714335441589 0.00666122436523 0.0047619342804 0.00501298904419 0.00456008911133 0.010592508316 0.00927269458771 0.00713977813721 0.00585253238678 0.00727097988129 0.0074117898941 0.0208894729614 0.00592806339264 0.00551023483276 0.00478930473328 
26 0.007275390625 0.00583620071411 0.00738849639893 0.00752339363098 0.0158503055573 0.00613062381744 0.00729057788849 0.00651500225067 0.0056259393692 0.0117605924606 0.00642807483673 0.00665509700775 0.0185574054718 0.00618968009949 0.0071545124054 0.00545918941498 0.0101744413376 0.0062953710556 0.00504050254822 0.005872797966 
28 0.00887899398804 0.0063449382782 0.0061487197876 0.00556519031525 0.0086480140686 0.00544414520264 0.00571048259735 0.00589919090271 0.00499715805054 0.00945906639099 0.00819573402405 0.00796790122986 0.00969922542572 0.00656547546387 0.00755603313446 0.0158312797546 0.00732283592224 0.00526123046875 0.00508720874786 0.0173055171967 
30 0.00735938549042 0.00663669109344 0.0125539064407 0.00639481544495 0.00734181404114 0.0059287071228 0.0159319162369 0.00703802108765 0.0060546875 0.00565328598022 0.00923111438751 0.00754902362823 0.010671043396 0.00662112236023 0.00792798995972 0.0163061141968 0.00526275634766 0.0189779758453 0.00682556629181 0.00654234886169 
32 0.00847091674805 0.00935246944427 0.00866875648499 0.00755951404572 0.0182199716568 0.00651264190674 0.0150668859482 0.00696477890015 0.0191241025925 0.00596528053284 0.00883929729462 0.0173369169235 0.00999526977539 0.00815601348877 0.0111913204193 0.00777988433838 0.00609879493713 0.00749049186707 0.00830631256104 0.005486536026 
34 0.00865290164948 0.0138944387436 0.0100205183029 0.008340716362 0.0347019195557 0.00770342350006 0.0205943584442 0.00714008808136 0.0148857116699 0.00678026676178 0.0102973461151 0.0291499137878 0.0078307390213 0.0175328016281 0.00979080200195 0.00996735095978 0.00608007907867 0.00665829181671 0.00807483196259 0.00818948745728 
36 0.00910558700562 0.0197952508926 0.00969471931458 0.00828876495361 0.0191203355789 0.00860095024109 0.00641391277313 0.00665864944458 0.00926537513733 0.00705089569092 0.0159836530685 0.00921540260315 0.0190116167068 0.0106393814087 0.00799579620361 0.0070999622345 0.00655040740967 0.0065004825592 0.00727045536041 0.0123338937759 
38 0.0121053934097 0.010733795166 0.0129742860794 0.0106081008911 0.0108899354935 0.0159482955933 0.00915930271149 0.00806770324707 0.00882863998413 0.0103850841522 0.0121808290482 0.0127695560455 0.0107059717178 0.0133442640305 0.0150474071503 0.00852572917938 0.0186544418335 0.00894556045532 0.0128211975098 0.0104871511459 
40 0.0134248971939 0.0120245218277 0.0229242324829 0.0135130167007 0.0106597423553 0.00799057483673 0.0108317375183 0.018715429306 0.0079993724823 0.0204353094101 0.013088965416 0.016613817215 0.0218185186386 0.0106208324432 0.020706486702 0.00979342460632 0.00862941741943 0.0165724992752 0.00814521312714 0.0186282634735 
42 0.0122783184052 0.0117316961288 0.023975777626 0.0136453866959 0.0114439964294 0.0192934989929 0.00982301235199 0.0100467681885 0.00828716754913 0.00820496082306 0.0175755023956 0.0112703084946 0.0231540441513 0.0127942085266 0.0141053915024 0.00931510925293 0.0100718975067 0.0106538772583 0.0108663320541 0.0150805473328 
44 0.0265038013458 0.016324877739 0.0233910799026 0.0144757986069 0.0129564523697 0.0213691711426 0.0173164606094 0.0103603601456 0.00904021263123 0.0193742990494 0.0169455051422 0.01400578022 0.0263515233994 0.0273894786835 0.0392008781433 0.0299249172211 0.0109874486923 0.0188736915588 0.0111471891403 0.0141970157623 
46 0.0172704219818 0.0200623512268 0.0141963005066 0.0235668182373 0.034050989151 0.00936841964722 0.0177426338196 0.00995357036591 0.00972101688385 0.0279864549637 0.0204631090164 0.0155360937119 0.0271381855011 0.0152916908264 0.0169307231903 0.0101638793945 0.0103388786316 0.018933224678 0.0101369142532 0.0287817001343 
48 0.0281938791275 0.0179238557816 0.0199280738831 0.0263018369675 0.0197030067444 0.0149792671204 0.0100894212723 0.0100312948227 0.0109721660614 0.0157563447952 0.0254257440567 0.0178348302841 0.0300532102585 0.0184069395065 0.0466299295425 0.0126918077469 0.00919871330261 0.0108836174011 0.0123780965805 0.0225865840912 
50 0.0194801330566 0.0275726795197 0.0188621282578 0.0177696466446 0.0302047491074 0.0118265390396 0.0212664365768 0.012464594841 0.0204622268677 0.0123639583588 0.0278594255447 0.0178086042404 0.0210244178772 0.0188597679138 0.113086891174 0.0119870901108 0.0247419595718 0.0114212036133 0.0528579950333 0.0102730989456 
52 0.0289075136185 0.0298645019531 0.0222404718399 0.0308372497559 0.0392413854599 0.0109908342361 0.0120073318481 0.0111438035965 0.0217454910278 0.0127465486526 0.0338601827621 0.0378235340118 0.0256138324738 0.038996219635 0.0309849500656 0.0226875066757 0.0217368125916 0.0135953426361 0.0145188808441 0.0120864868164 
54 0.0324273824692 0.0193554878235 0.0315038204193 0.0215954780579 0.0244668006897 0.0127498149872 0.0113981485367 0.0114943981171 0.0125241041183 0.0269154310226 0.0207794427872 0.0291316986084 0.0213566303253 0.034300994873 0.0351512432098 0.0126269102097 0.0273571252823 0.0160336732864 0.0252225399017 0.0108790397644 
56 0.0284153461456 0.022557926178 0.024374127388 0.0357998132706 0.070364356041 0.0127722024918 0.0217714071274 0.0133969783783 0.0194296360016 0.016826581955 0.0273475885391 0.0318779230118 0.0271546840668 0.0245012760162 0.0239186286926 0.0262892961502 0.0210011005402 0.0225059747696 0.0137162923813 0.0150163888931 
58 0.0296996831894 0.0283163785934 0.0604437112808 0.0285120487213 0.0294181585312 0.0155509233475 0.0115606546402 0.0182466983795 0.0224703073502 0.0301599264145 0.0462499856949 0.0952086925507 0.0313836336136 0.0370291948318 0.0345968008041 0.0329376935959 0.0274775505066 0.0248533010483 0.0137167930603 0.0141732692719 
60 0.0434484958649 0.0365808486938 0.0357136487961 0.0311558008194 0.0587123632431 0.0181125879288 0.0244037866592 0.0259567260742 0.0135643005371 0.0244837522507 0.035248708725 0.0244356632233 0.0380455493927 0.0219926118851 0.077242064476 0.0243359088898 0.0821211099625 0.0240176916122 0.0145733118057 0.0132179021835 
62 0.0424495458603 0.0298921108246 0.0352743387222 0.029821395874 0.054416513443 0.017125749588 0.0171313047409 0.0155829429626 0.0143814086914 0.0245483875275 0.0316915988922 0.0446148872375 0.0356753826141 0.0354955434799 0.0318895101547 0.0197906255722 0.0407443761826 0.026344704628 0.0279043197632 0.0148519515991 
