argument -moms-wl -moms-wl-cl 
10 0.0267729759216 0.00531792640686 
11 0.00685000419617 0.00684785842896 
12 0.00858211517334 0.00780582427979 
13 0.00818514823914 0.00973510742188 
14 0.0314729213715 0.0101099014282 
15 0.0682210922241 0.070140838623 
16 0.0815138816833 0.209884881973 
17 0.107667922974 0.109365940094 
18 0.116919994354 0.223992109299 
19 0.407352209091 0.399852991104 
20 0.123028993607 0.114018917084 
21 0.119682073593 0.193489074707 
22 0.137806177139 0.1427090168 
23 0.264735937119 0.166182994843 
24 0.188924074173 0.26349902153 
25 0.886348962784 0.78787612915 
26 1.04969000816 0.920346021652 
27 1.63638401031 1.12423610687 
28 1.42759895325 1.20399785042 
29 1.41532087326 1.4771361351 
30 1.37616801262 1.32713508606 
31 1.5855281353 1.47108387947 
32 1.72479486465 1.65036702156 
33 1.96279001236 1.82832789421 
34 2.08361697197 2.08527493477 
35 3.78211593628 2.75139188766 
