argument -moms-wl -moms-wl-cl 
100 0.0711641311646 0.0375158786774 
150 0.0819971561432 0.0828368663788 
200 0.132489919662 0.132104158401 
250 0.217056035995 0.20311498642 
300 0.267441034317 0.269968032837 
350 0.446997880936 0.376028060913 
400 0.478960037231 0.538713932037 
450 0.612783193588 0.679691076279 
500 0.764998912811 0.834864854813 
550 0.924928188324 0.905852079391 
600 1.1687810421 1.08951282501 
650 1.35054707527 1.237003088 
700 1.41092205048 1.53644704819 
750 1.74990200996 1.61650395393 
800 1.96128201485 1.80595993996 
850 2.48378705978 2.27945804596 
900 2.38599300385 2.39314007759 
950 2.60755515099 2.68683815002 
1000 3.16154098511 3.00862312317 
