argument -malin-wl -rand-wl -moms-wl -dlis-wl -simple-wl -malin-wl-cl -rand-wl-cl -moms-wl-cl -dlis-wl-cl -simple-wl-cl 
10 0.211637020111 0.50334405899 0.135506153107 0.0778870582581 0.0862209796906 0.0284979343414 0.033234834671 0.154050111771 0.110285997391 0.333221912384 
11 0.14782500267 0.0410749912262 0.0379588603973 0.0663759708405 0.0489320755005 0.0306041240692 0.142338991165 0.0518319606781 0.0522348880768 0.21265411377 
12 1.4971408844 0.358772039413 0.0453209877014 0.0531411170959 0.0633540153503 0.0375590324402 0.0421168804169 0.0680620670319 0.0681228637695 0.153352022171 
13 0.466098070145 0.060732126236 0.0606229305267 0.0725691318512 0.0676259994507 0.0345599651337 0.0532691478729 0.156289100647 0.0611929893494 0.0713500976562 
14 0.0524070262909 0.208405971527 0.0815432071686 0.0798718929291 0.0664739608765 0.0731029510498 0.0679130554199 0.0731179714203 0.0899159908295 0.159469842911 
15 0.0840301513672 0.273856878281 0.0600888729095 0.0955591201782 0.086089849472 0.079195022583 0.119333982468 0.066636800766 0.0784459114075 0.420688152313 
16 1.73788309097 0.0701370239258 0.065948009491 0.0898821353912 0.313370227814 0.0600130558014 0.0764131546021 0.210193872452 0.150670051575 0.102188110352 
17 0.141108989716 0.0839211940765 0.0886430740356 0.805510997772 0.167802810669 0.0676910877228 0.0807089805603 0.102392196655 0.136485099792 5.16376495361 
18 0.116626024246 0.376647949219 0.0833430290222 0.0989379882812 0.118526935577 0.118298053741 0.0851621627808 0.0888860225677 0.100607156754 0.168241024017 
19 0.0985510349274 0.0991721153259 0.151687860489 0.615373849869 0.183823108673 0.0943601131439 0.105369091034 0.194309949875 0.256521224976 0.267650127411 
20 0.110697031021 0.165591001511 0.100276947021 0.186594009399 1.60902905464 0.183218002319 0.105426073074 0.0970098972321 0.261887073517 0.356384038925 
