argument -malin-dpll -rand-dpll -moms-dpll -dlis-dpll -simple-dpll -moms-wl -dlis-wl -malin-dpll-cl -rand-dpll-cl -moms-dpll-cl -dlis-dpll-cl -simple-dpll-cl -moms-wl-cl -dlis-wl-cl 
1000 0.0925675630569 0.0871335268021 0.115156412125 0.0878410339355 0.130089998245 0.181671023369 0.168748497963 0.0892570018768 0.10123860836 0.097566485405 0.125465989113 0.118547081947 0.19940507412 0.185729503632 
1500 0.111149072647 0.111850619316 0.151247024536 0.195663452148 0.110219955444 0.229171395302 0.257365465164 0.139967083931 0.120127439499 0.121161103249 0.109731435776 0.108438968658 0.257938861847 0.217793464661 
2000 0.169737577438 0.184612989426 0.138145089149 0.226668953896 0.160817027092 0.298102974892 0.287280082703 0.185580015182 0.176307916641 0.133949041367 0.181004405022 0.13403904438 0.334883093834 0.250972032547 
2500 0.188048601151 0.188778042793 0.198148965836 0.192409515381 0.189045071602 0.313105463982 0.344555974007 0.193263173103 0.165143489838 0.179787516594 0.162742495537 0.202564477921 0.369038105011 0.29495549202 
3000 0.267233490944 0.21751499176 0.226364970207 0.242670536041 0.247594475746 0.343820571899 0.328048944473 0.224467873573 0.183269023895 0.219538450241 0.194346427917 0.18080163002 0.341654062271 0.382748484612 
3500 0.281816601753 0.275051951408 0.202115416527 0.221485972404 0.242848992348 0.368634462357 0.366498470306 0.256829500198 0.200969576836 0.219331502914 0.23119187355 0.202999472618 0.431794404984 0.391590356827 
4000 0.227126002312 0.248219013214 0.221517086029 0.275314092636 0.260171890259 0.496016979218 0.488309025764 0.29919052124 0.276723623276 0.227706074715 0.258659005165 0.222810506821 0.486827015877 0.432554006577 
4500 0.33783698082 0.29785990715 0.247151494026 0.288493990898 0.344098448753 0.543494939804 0.48286652565 0.276691555977 0.259906053543 0.293982505798 0.26247549057 0.271077394485 0.509903550148 0.533347010612 
5000 0.320042490959 0.359984397888 0.317905426025 0.32053399086 0.301644444466 0.560742974281 0.557054042816 0.276504516602 0.275213003159 0.350973963737 0.321890473366 0.306416630745 0.553392529488 0.53536939621 
5500 0.328590512276 0.330628395081 0.378940582275 0.328305482864 0.334550023079 0.586917519569 0.558713555336 0.38710641861 0.323171496391 0.35801243782 0.353206396103 0.361232161522 0.69098341465 0.594001889229 
6000 0.323294401169 0.365324854851 0.388825058937 0.350142002106 0.391782641411 0.638285517693 0.603622436523 0.382125496864 0.340371489525 0.361733436584 0.341132640839 0.410637021065 0.619825482368 0.62434899807 
6500 0.371848583221 0.352519512177 0.364409446716 0.38209605217 0.368830442429 0.670253992081 0.652198553085 0.372195959091 0.350505948067 0.363274812698 0.337816596031 0.415171980858 0.63885653019 0.653208613396 
7000 0.353716373444 0.357897043228 0.429173350334 0.354207992554 0.464322447777 0.709320068359 0.668739199638 0.360095381737 0.419188380241 0.379917502403 0.392764091492 0.388810515404 0.68099796772 0.664011120796 
7500 0.407121062279 0.425626516342 0.398808956146 0.429087519646 0.40307700634 0.704130530357 0.741186976433 0.440711975098 0.448089003563 0.439729452133 0.426053881645 0.383123636246 0.759068608284 0.716041088104 
8000 0.462255835533 0.413136482239 0.426366090775 0.401240587234 0.414302110672 0.792214035988 0.768892407417 0.486750483513 0.435409069061 0.398763418198 0.421887516975 0.446451067924 0.766973972321 0.807453036308 
8500 0.513643980026 0.487796425819 0.459642410278 0.479430437088 0.443976044655 0.892048001289 0.846100449562 0.441952466965 0.499286055565 0.435041189194 0.482726573944 0.438443541527 0.855102062225 0.862191438675 
9000 0.475120544434 0.479547023773 0.535058021545 0.443810462952 0.474623441696 0.874863505363 0.931428551674 0.475620508194 0.461613416672 0.446761012077 0.510745644569 0.454976439476 0.896529436111 0.826488018036 
9500 0.496154546738 0.530706524849 0.529936552048 0.479332566261 0.523592352867 0.936554431915 0.869861006737 0.531762480736 0.502828001976 0.48961353302 0.480290055275 0.482907056808 0.866456866264 0.944445490837 
10000 0.584897041321 0.496719956398 0.546801924706 0.50629901886 0.541067957878 1.00956606865 1.00069403648 0.50222158432 0.556315422058 0.500593066216 0.543787479401 0.532351493835 0.910400509834 0.96288561821 
