argument -malin -rand -moms -dlis defaut -malin-wl -rand-wl -moms-wl -dlis-wl -wl 
50 2.07025504112 2.18041110039 0.499341011047 0.765856981277 0.774004220963 0.175534963608 0.0527579784393 0.0539689064026 0.0631499290466 0.049644947052 
60 0.46209192276 2.50484395027 0.347043037415 0.162878036499 0.210881948471 0.0410079956055 0.0489411354065 0.0453209877014 0.0387010574341 0.0440950393677 
70 0.639705181122 0.611564874649 1.72100710869 1.39673185349 1.23657608032 0.164434194565 0.159869909286 0.0887291431427 0.0797531604767 0.0686800479889 
80 0.439429998398 0.430160045624 3.1604821682 1.03528499603 0.162980794907 0.0336689949036 0.018896818161 0.0298690795898 0.0222940444946 0.019394159317 
90 0.10438990593 0.0793719291687 0.0869338512421 1.11696195602 1.95550394058 0.276035070419 0.328626871109 0.269381046295 0.0259940624237 0.101952075958 
100 0.120970010757 0.113539934158 0.206550121307 0.112430095673 0.127843856812 0.0288381576538 0.12899684906 0.0620310306549 0.052582025528 0.0537090301514 
110 0.389654874802 0.403469085693 2.36880993843 2.73579311371 3.75970196724 0.199463844299 0.172995090485 0.208691835403 0.202571153641 0.184605121613 
120 0.960857868195 2.83359408379 0.26811003685 1.8998029232 4.61701011658 0.0722718238831 0.0732309818268 0.100076913834 0.403650999069 0.419027090073 
130 7.91275620461 0.20037817955 3.81987810135 2.75102210045 3.20915794373 0.136095046997 0.0787928104401 0.187128067017 0.0786640644073 0.0752220153809 
140 0.631375789642 1.92169094086 1.34886980057 0.846483945847 1.18903398514 0.120637893677 0.110702991486 0.188941955566 0.393838167191 0.382999897003 
150 4.62717103958 0.198029994965 0.102961063385 0.119468212128 0.508190155029 12.8535780907 0.151030063629 0.23517203331 0.170106172562 0.0931489467621 
160 0.961076021194 1.07519102097 2.40097403526 0.125313043594 0.0681869983673 0.0656061172485 0.048388004303 0.0612781047821 0.0573749542236 0.0576548576355 
170 0.366952180862 0.42018198967 7.50718998909 3.1052980423 2.45468020439 0.0555019378662 0.0440068244934 0.0455408096313 0.0334420204163 0.0379121303558 
180 0.21256685257 0.308167934418 0.620078086853 0.476437091827 6.6186299324 0.263648033142 0.190355062485 0.235535860062 0.243782043457 0.189530849457 
190 0.780512094498 0.433884859085 2.39346218109 12.2504792213 4.40556001663 0.131977081299 0.100994110107 0.123497962952 0.0766680240631 0.070741891861 
200 0.576210021973 6.85956788063 4.53921699524 1.98774409294 0.866647005081 0.149729013443 0.126662015915 0.129153013229 0.200616121292 0.304749011993 
210 6.59348893166 1.9551820755 2.47157883644 1.51821684837 0.13599896431 0.0189418792725 0.0165748596191 0.023756980896 0.0178518295288 0.0180549621582 
220 0.0670919418335 0.0625269412994 0.175112009048 0.0631489753723 0.0819978713989 0.0245380401611 0.0163578987122 0.021800994873 0.0192949771881 0.0187599658966 
230 0.176036119461 0.789302110672 0.900259017944 2.87007784843 1.89825296402 0.512263059616 0.29851102829 0.453672170639 0.203670024872 0.404273986816 
240 7.71426010132 0.904886960983 7.63373994827 1.46668219566 0.147016048431 0.0322799682617 0.0312900543213 0.0366208553314 0.0442249774933 0.142696857452 
250 0.12316608429 0.12841296196 7.07478809357 0.387249946594 0.407676935196 0.261224985123 0.206593036652 0.267738103867 0.333291053772 0.215416193008 
