argument -malin-dpll -rand-dpll -moms-dpll -dlis-dpll -simple-dpll -malin-dpll-cl -rand-dpll-cl -moms-dpll-cl -dlis-dpll-cl -simple-dpll-cl 
500 0.0951476097107 0.0703955888748 0.119463562965 0.0706629753113 0.115193009377 0.102931022644 0.0691810846329 0.12648499012 0.0826214551926 0.0710173845291 
1000 0.137562990189 0.0953856706619 0.117170453072 0.0901780128479 0.127494573593 0.0903435945511 0.11530148983 0.0907390117645 0.146005392075 0.10006248951 
1500 0.107736468315 0.170029997826 0.150635838509 0.1384100914 0.115164518356 0.110929489136 0.162957429886 0.108797430992 0.11953997612 0.125954985619 
2000 0.157538414001 0.130053520203 0.133364915848 0.177968502045 0.171823501587 0.167715549469 0.189278125763 0.178978443146 0.141003847122 0.181403040886 
2500 0.163526535034 0.163472533226 0.184636950493 0.165653467178 0.203754067421 0.200535416603 0.180530905724 0.168087601662 0.168255448341 0.227959513664 
3000 0.220808029175 0.202061533928 0.208759069443 0.243456125259 0.192782044411 0.182899475098 0.232421040535 0.198055505753 0.22312605381 0.225871443748 
3500 0.246635913849 0.234267115593 0.199645638466 0.201542377472 0.220373511314 0.195858478546 0.227139472961 0.240839481354 0.265365004539 0.199781537056 
4000 0.229217529297 0.277197480202 0.240544438362 0.221324443817 0.270931601524 0.225522875786 0.236796021461 0.25491642952 0.314645886421 0.252270579338 
4500 0.287816643715 0.311605334282 0.312346458435 0.314690470695 0.309515953064 0.242719054222 0.285807967186 0.260836958885 0.297551512718 0.255345463753 
5000 0.316526532173 0.320077061653 0.306754946709 0.348021030426 0.312576532364 0.27934551239 0.294196009636 0.31477200985 0.278143405914 0.320144057274 
5500 0.335670948029 0.287942528725 0.35322201252 0.292991518974 0.352609038353 0.291864395142 0.372295975685 0.393638491631 0.329123497009 0.298576951027 
6000 0.35030913353 0.401198029518 0.339124917984 0.457052111626 0.45283806324 0.355489611626 0.311558008194 0.335466504097 0.408790946007 0.322135090828 
6500 0.363528966904 0.372881531715 0.382507920265 0.374104976654 0.423363447189 0.403245091438 0.374782443047 0.350360512733 0.363044977188 0.349269032478 
7000 0.400570988655 0.355471491814 0.366656541824 0.382647514343 0.356284379959 0.401708364487 0.400246500969 0.421468496323 0.358410000801 0.374358057976 
7500 0.453876495361 0.383090019226 0.446585059166 0.393293976784 0.40271294117 0.467118024826 0.413647532463 0.404489994049 0.376361489296 0.37774014473 
8000 0.397299051285 0.399911522865 0.447787046432 0.397943019867 0.4078155756 0.455350518227 0.45817899704 0.461441993713 0.588047504425 0.409183382988 
8500 0.436933994293 0.427701950073 0.46167743206 0.44143807888 0.421031475067 0.465862512589 0.456071019173 0.538020610809 0.445129036903 0.433487057686 
9000 0.464035987854 0.533422827721 0.490975499153 0.498096942902 0.444032073021 0.444178938866 0.491277575493 0.464611411095 0.504020929337 0.471840500832 
9500 0.520737051964 0.476566553116 0.49706697464 0.477027535439 0.47384750843 0.478073477745 0.499190926552 0.472482919693 0.508950948715 0.536527514458 
10000 0.502668023109 0.552525997162 0.502234458923 0.497882962227 0.516620516777 0.499523043633 0.531342387199 0.549750447273 0.511281967163 0.527105927467 
10500 0.549972057343 0.513849020004 0.529388427734 0.584363102913 0.562965035439 0.560889363289 0.557187438011 0.515208125114 0.533071517944 0.570446968079 
11000 0.569226026535 0.538601517677 0.58944106102 0.611737012863 0.550401091576 0.559458374977 0.562822461128 0.633600115776 0.571751475334 0.583285570145 
11500 0.554610848427 0.566174864769 0.582342982292 0.611927509308 0.608689427376 0.616504907608 0.558346033096 0.557985544205 0.559411525726 0.571752905846 
12000 0.583682537079 0.634907484055 0.590197086334 0.576791524887 0.635296821594 0.687717914581 0.630522489548 0.589805483818 0.623307466507 0.615479588509 
12500 0.698734998703 0.775592923164 0.652910470963 0.636860489845 0.618147492409 0.675007462502 0.679477095604 0.6170835495 0.67115354538 0.619901061058 
13000 0.622097969055 0.680967450142 0.628754138947 0.636946439743 0.620728969574 0.692386865616 0.63765001297 0.667411088943 0.682413935661 0.68158197403 
13500 0.706122875214 0.677229642868 0.674570918083 0.665528059006 0.673658490181 0.659780025482 0.669299483299 0.659857988358 0.660208940506 0.665624499321 
14000 0.665558576584 0.682721495628 0.671573519707 0.678424954414 0.725902438164 0.674545049667 0.702691078186 0.682884931564 0.67428290844 0.68006503582 
14500 0.726622462273 0.717411994934 0.73082447052 0.691319465637 0.752773046494 0.755630850792 0.745380401611 0.701630353928 0.696605563164 0.748328447342 
15000 0.714066982269 0.811816453934 0.729889988899 0.718095064163 0.756477475166 0.739488482475 0.735970854759 0.763629436493 0.777037620544 0.740949988365 
15500 0.775040984154 0.735586881638 0.761292099953 0.80610203743 0.74517250061 0.748500585556 0.795814037323 0.759478092194 0.743376374245 0.755800008774 
16000 0.792599916458 0.780387043953 0.777631998062 0.770885467529 0.767650008202 0.768669605255 0.78316450119 0.792623877525 0.881215572357 0.78419649601 
16500 0.835003495216 0.793437957764 0.799430966377 0.788282036781 0.847298622131 0.795242905617 0.841848492622 0.79167842865 0.813284039497 0.835138559341 
17000 0.808022856712 0.811647057533 0.843320608139 0.917780995369 0.897679924965 0.829267501831 0.801880955696 0.855307936668 0.815158963203 0.835793495178 
17500 0.91533446312 0.872753977776 0.853779554367 0.885686516762 0.838104009628 0.938416481018 0.830854892731 0.895325541496 0.833718538284 0.852121949196 
18000 0.883790493011 0.864686012268 0.8530189991 0.90061545372 0.873388528824 0.858905553818 0.925233364105 0.869725584984 0.864409446716 0.87938606739 
18500 0.936480045319 0.989994525909 0.965468406677 0.878515005112 0.998962879181 0.960440993309 0.924310564995 0.879391431808 0.87997853756 0.881368994713 
19000 0.970113039017 0.906619548798 0.903515577316 0.936380386353 0.931451439857 0.923252463341 0.945069432259 0.987800359726 0.943562984467 0.949480056763 
