argument -malin -rand -moms -dlis default -malin-wl -rand-wl -moms-wl -dlis-wl -wl
1000 0.00565099716187 0.217311143875 0.00473594665527 0.226751089096 0.00512599945068 0.00813698768616 0.00510716438293 0.0100479125977 0.00496101379395 0.253450870514 
2000 0.00718593597412 0.869722127914 0.00584697723389 0.809958934784 0.0264031887054 0.0131189823151 0.00635695457458 0.0159518718719 0.0118069648743 0.805665969849 
3000 0.00898504257202 1.76142907143 0.107120037079 1.76337194443 0.115119934082 0.0171120166779 0.020690202713 0.0244739055634 0.00916695594788 1.73768591881 
4000 0.0111970901489 3.42797207832 0.0123970508575 3.11415195465 0.037055015564 0.0278639793396 0.020035982132 0.0386288166046 0.0111441612244 3.38138985634 
5000 0.123669862747 4.95920205116 0.0620539188385 4.85494399071 0.0124280452728 0.0290589332581 0.0123379230499 0.0362432003021 0.0132870674133 4.72954511642 
