argument -malin-wl -rand-wl -moms-wl -dlis-wl -wl -malin-wl-cl -rand-wl-cl -moms-wl-cl -dlis-wl-cl -wl-cl 
50 0.064964056015 0.0849039554596 0.0598080158234 0.0444979667664 0.0437309741974 0.0435719490051 0.0442271232605 0.0465869903564 0.167629957199 0.0711979866028 
100 0.109330892563 0.110757112503 0.120965957642 0.119585990906 0.211642980576 0.0999970436096 0.0997240543365 0.203113079071 0.121869802475 0.109652042389 
150 0.116550922394 0.10285615921 0.0969531536102 0.103056192398 0.0867850780487 0.12286901474 0.0591049194336 0.0987169742584 0.108713150024 0.0844230651855 
200 0.0947811603546 0.211650133133 0.313310861588 0.29288315773 0.238864183426 0.125946998596 0.290354967117 0.185674905777 0.145040988922 0.182899951935 
250 0.104364871979 0.0979089736938 0.205626964569 0.121307134628 0.0969440937042 0.100200891495 0.102520942688 0.186665058136 0.244593858719 0.157586097717 
300 0.156774044037 0.248929977417 0.153108119965 0.234455108643 0.126379966736 0.14056801796 0.0975720882416 0.247883081436 0.372096061707 0.385849952698 
350 0.445634126663 0.0884301662445 0.0296740531921 0.0297160148621 0.0353538990021 0.0246088504791 0.0239400863647 0.0360591411591 0.0278971195221 0.0269479751587 
400 0.0256130695343 0.0269000530243 0.0300590991974 0.120953083038 0.0229458808899 0.0241367816925 0.0245389938354 0.031044960022 0.346435070038 0.406134128571 
450 0.512147903442 0.219481229782 0.151736974716 0.216875076294 0.114887952805 0.199684143066 0.161744117737 0.207520008087 0.214950084686 0.165697097778 
500 0.0283060073853 0.0239579677582 0.0366899967194 0.0313880443573 0.0372431278229 0.0285530090332 0.043751001358 0.0332560539246 0.0328669548035 0.0279071331024 
550 0.0279159545898 0.0249688625336 0.0331690311432 0.032732963562 0.132287025452 0.0305550098419 0.027135848999 0.0360889434814 0.0379049777985 0.0270059108734 
600 0.0293889045715 0.311975002289 0.429297924042 0.488363027573 0.374826908112 0.244848012924 0.213392972946 0.133172988892 0.159248828888 0.0787580013275 
650 0.0850760936737 0.186435937881 0.0980398654938 0.0976469516754 0.223304986954 0.174988031387 0.150977134705 0.22949385643 0.258549928665 0.0191149711609 
700 0.0161161422729 0.0168099403381 0.024346113205 0.161227941513 0.0193371772766 0.0118081569672 0.0168190002441 0.105903148651 0.0177118778229 0.0210700035095 
750 0.0936570167542 0.0143671035767 0.0283498764038 0.0167260169983 0.106336116791 0.0374460220337 0.0384459495544 0.0760271549225 0.078705072403 0.164078950882 
800 0.0724010467529 0.0639431476593 0.0701658725739 0.0790588855743 0.140017986298 0.0628221035004 0.0676488876343 0.648463010788 0.617043018341 0.446317911148 
850 0.411550045013 0.164094924927 0.154041051865 0.148540973663 0.199740886688 0.133666038513 0.181849002838 0.261386871338 0.182153940201 0.148515939713 
900 0.241701126099 0.361519098282 0.488662004471 0.413510084152 0.548903942108 0.200862884521 0.165072917938 0.26472902298 0.210269212723 0.173165082932 
950 0.437325000763 0.393752098083 0.55224609375 0.241285085678 0.208463907242 0.321949005127 0.258316040039 0.254505157471 0.201112985611 0.293385028839 
1000 0.403074979782 0.345053911209 0.301103115082 0.222393035889 0.191177129745 0.106194972992 0.258059978485 0.138720035553 0.152451038361 0.11877989769 
1050 0.18438911438 0.107939004898 0.146666049957 0.219225168228 0.190596818924 0.324723005295 0.254690170288 0.180485010147 0.184455156326 0.142987012863 
1100 0.142824172974 0.217017889023 0.137106180191 0.230856895447 0.108752012253 0.122304916382 0.108694076538 0.247162103653 0.107211112976 0.160752058029 
